IDDetailsParametresMailing,IDParametresMailingRef,Brochure ou mail,Titre parties du mail,Détails de cette partie (1),Détails de cette partie (2),Détails de cette partie (3),Détails de cette partie (4),Détails de cette partie (5),Détails de cette partie (6),Afficher ou Masquer,Important ou non
59296b68,ed160a0c,Mail,,La Gestion des chantiers,Difficulté à suivre l’avancement et les étapes de chaque chantier,Tableau de bord des chantiers avec statut (prévu / en cours / terminé),,Vous rencontrez des difficultés à suivre l’avancement de vos chantiers ? Trop informations perdues/dispersées entre le bureau et le terrain ?,"La solution : un tableau de bord pour une gestion optimale de vos plannings et donc des chantiers avec tous les éléments dans chaque dossier chantier (chantier en cours/terminé, chantier urgent, …).",Afficher,Important
3f45a631,ed160a0c,Mail,,La Gestion des chantiers,Perte d’informations entre le bureau et le terrain,"Suivi des étapes clés (pose, test, réception, etc.)",,,,Afficher,Important
0dc7aee2,ed160a0c,Mail,,La Gestion des chantiers,Photos et notes dispersées ou perdues,Historique photo et compte rendu par date/intervenant,,,,Afficher,Important
94872b90,ed160a0c,Mail,,La Gestion des chantiers,Planification complexe des interventions en fonction des urgences,Création d'alerte et attribution d'états de priorité,,,,Afficher,Important
6ede63e9,ed160a0c,Mail,,"Devis, facture et suivi administratif","Création de devis/factures fastidieuse ou dispersée (erreur de calcul, oublis de lignes, ...)",Génération automatique de devis/factures à partir des interventions,,"La gestion de vos devis, factures et documents administratifs est désordonnée (erreur de calcul, oublis de lignes, oublis de relance de paiement, ...) ?","La solution : un outil de génération automatique de devis et de factures avec un suivi des paiements et un système d’alerte pour les impayés ou retards de paiement ainsi qu'une centralisation de tout l’historique des clients et des chantiers (factures liées, photos, documents, ...).",Afficher,Important
ee3d2e5e,ed160a0c,Mail,,"Devis, facture et suivi administratif",Difficulté à suivre les paiements clients et relances,Suivi des paiements (reçu / en attente / relance) et Alerte pour les impayés ou retards de devis à envoyer,,,,Afficher,Important
f5002575,ed160a0c,Mail,,"Devis, facture et suivi administratif",Classement et historique des documents administratifs,"Centralisation de tout l’historique client et chantier (factures liées, ...)",,,,Afficher,Important
91fb7170,ed160a0c,Mail,,Gestion du matériel et des stocks,Oublis de commande de matériel avant le chantier,Système d'alertes pour les commandes à passer,,"Vous rencontrez des difficultés dans la gestion de votre stock (manque de visibilité sur le stock actuel, matériel inutile ou en double, ...) ? Vous oubliez parfois de commander du matériel ?","La solution : Un système d'alertes pour les commandes à passer, création de fiches de stocks (entrée/sortie) automatiques, liste de matériel nécessaire par type de chantier et création d'un suivi des outils attribués à chaque technicien.",Afficher,Important
a38e5c2f,ed160a0c,Mail,,Gestion du matériel et des stocks,"Manque de visibilité sur le stock (vannes, tuyaux, joints, robinets…)",Fiche stock automatisée (entrée/sortie),,,,Afficher,Important
06a77c87,ed160a0c,Mail,,Gestion du matériel et des stocks,Achat de matériel en double ou inutile,Liste de matériel nécessaire par type de chantier,,,,Afficher,Important
